step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,13266430014_stopped,13266430014_accumulated_waiting_time,13266430014_average_speed,13266430017_stopped,13266430017_accumulated_waiting_time,13266430017_average_speed,13266430024_stopped,13266430024_accumulated_waiting_time,13266430024_average_speed,13266430031_stopped,13266430031_accumulated_waiting_time,13266430031_average_speed,13266430045_stopped,13266430045_accumulated_waiting_time,13266430045_average_speed,13266435905_stopped,13266435905_accumulated_waiting_time,13266435905_average_speed,13266435909_stopped,13266435909_accumulated_waiting_time,13266435909_average_speed,13266435916_stopped,13266435916_accumulated_waiting_time,13266435916_average_speed,4642212386_stopped,4642212386_accumulated_waiting_time,4642212386_average_speed,4642212807_stopped,4642212807_accumulated_waiting_time,4642212807_average_speed,4642212808_stopped,4642212808_accumulated_waiting_time,4642212808_average_speed,5126085075_stopped,5126085075_accumulated_waiting_time,5126085075_average_speed,5126085086_stopped,5126085086_accumulated_waiting_time,5126085086_average_speed,6533381594_stopped,6533381594_accumulated_waiting_time,6533381594_average_speed,6533381682_stopped,6533381682_accumulated_waiting_time,6533381682_average_speed,6533381683_stopped,6533381683_accumulated_waiting_time,6533381683_average_speed,6533381690_stopped,6533381690_accumulated_waiting_time,6533381690_average_speed,joinedS_13266308380_13266435910_13266435913_4688824846_stopped,joinedS_13266308380_13266435910_13266435913_4688824846_accumulated_waiting_time,joinedS_13266308380_13266435910_13266435913_4688824846_average_speed,joinedS_13266308390_6533381687_stopped,joinedS_13266308390_6533381687_accumulated_waiting_time,joinedS_13266308390_6533381687_average_speed,joinedS_13266308395_13266308397_stopped,joinedS_13266308395_13266308397_accumulated_waiting_time,joinedS_13266308395_13266308397_average_speed,joinedS_13266430007_13266430020_stopped,joinedS_13266430007_13266430020_accumulated_waiting_time,joinedS_13266430007_13266430020_average_speed,joinedS_13266430021_5126085082_5126085084_stopped,joinedS_13266430021_5126085082_5126085084_accumulated_waiting_time,joinedS_13266430021_5126085082_5126085084_average_speed,joinedS_13266435919_4642212382_stopped,joinedS_13266435919_4642212382_accumulated_waiting_time,joinedS_13266435919_4642212382_average_speed,joinedS_4642212790_6533381681_stopped,joinedS_4642212790_6533381681_accumulated_waiting_time,joinedS_4642212790_6533381681_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
100.0,3,97.0,24.25,1.0946922520852622,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8304548356092212,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,92.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,92.0
105.0,4,116.0,29.0,6.491921278275385e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,4.925073249802855e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,102.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,106.0
110.0,4,136.0,34.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,112.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,121.0
115.0,4,156.0,39.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,14.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,122.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,136.0
120.0,4,176.0,44.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,19.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,132.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,151.0
125.0,4,196.0,39.2,0.8154653923518822,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,24.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,142.0,0.0,0,0.0,0.7875130878079903,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,166.0
130.0,4,216.0,43.2,0.883173039651276,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,29.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,152.0,0.0,0,0.0,0.852899870488219,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,181.0
135.0,4,236.0,47.2,0.9084420224072277,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,34.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,162.0,0.0,0,0.0,0.8773026898138974,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,196.0
140.0,4,256.0,51.2,0.9450702936461062,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,39.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,172.0,0.0,0,0.0,0.9126754269710258,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,211.0
145.0,4,276.0,55.2,0.9589229891894251,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,44.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,182.0,0.0,0,0.0,0.926053283522755,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,226.0
